TENURE,LU_DESC,HECTARES,LC_DESC_13,LC_DESC_12
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),14.05400000,Softwood Plantation,Softwood Plantation
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.73800000,Hardwood plantation,Hardwood plantation
PUBLIC,Community Service Facilities or Other,2.95000000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.05700000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),4.92500000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.41200000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.21900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),15.26800000,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),8.82500000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.02700000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,9.43100000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,7.53000000,Unknown,Unknown
PUBLIC,Reserved Land,0.01500000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.84700000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,13.49400000,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Dairy Cattle),10.53500000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),17.44300000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),2.54100000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,5.38900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),20.83800000,Pasture and grassland,Pasture and grassland
PUBLIC,Forest Reserves - Public,12.36900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.63500000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.73300000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),9.43300000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),6.71600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),5.32800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),11.98800000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.93700000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.22600000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.30400000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),8.26700000,Unknown,Unknown
PUBLIC,Nature Reserve,1.92000000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.83800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),8.44600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.10100000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.35600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.09200000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),25.30500000,Hardwood plantation,Hardwood plantation
PRIVATE,Mixed farming and grazing  (generally more than 20ha),27.12900000,Softwood Plantation,Softwood Plantation
PRIVATE,Livestock Production (Beef Cattle),32.03100000,Softwood Plantation,Softwood Plantation
PRIVATE,Mixed farming and grazing  (generally more than 20ha),53.73100000,Softwood Plantation,Softwood Plantation
PUBLIC,Community Service Facilities or Other,3.91400000,Unknown,Unknown
PUBLIC,Nature Reserve,11.90100000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),7.97500000,Unknown,Unknown
PUBLIC,Reserved Land,0.91700000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.76000000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.89900000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.41800000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.78100000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.38500000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,6.41900000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,31.60400000,Native woody cover,Native woody cover
PUBLIC,Nature Reserve,5.78600000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),8.40200000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,19.31300000,Native woody cover,Native woody cover
PUBLIC,Reserved Land,0.36700000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.14300000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.10200000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),1.23000000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.11100000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),13.13200000,Pasture and grassland,Pasture and grassland
PUBLIC,Community Service Facilities or Other,3.84200000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),9.96800000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.30900000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.49200000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),5.36700000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.32400000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.97800000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.22400000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.43200000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,2.15900000,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",3.36400000,Unknown,Unknown
PUBLIC,Reserved Land,0.35500000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.30900000,Unknown,Unknown
PUBLIC,Reserved Land,0.19200000,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,4.09600000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,133.58000000,Native woody cover,Native woody cover
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.39500000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.57400000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,186.14200000,Native woody cover,Native woody cover
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.50900000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.69200000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.56300000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.65500000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.83300000,Unknown,Unknown
PRIVATE,Detached Home,0.07100000,Unknown,Unknown
PRIVATE,Detached Home,0.02500000,Unknown,Unknown
PRIVATE,Detached Home,0.03900000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.06100000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.04900000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.08000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.01100000,Unknown,Unknown
PRIVATE,Detached Home,0.00000000,Unknown,Unknown
PRIVATE,Detached Home,0.00600000,Unknown,Unknown
PRIVATE,Detached Home,0.07900000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.05400000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.02000000,Unknown,Unknown
PRIVATE,Detached Home,0.01900000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.00200000,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.24000000,Unknown,Unknown
PRIVATE,Detached Home,0.09700000,Unknown,Unknown
PRIVATE,Detached Home,0.03700000,Unknown,Unknown
PRIVATE,Detached Home,0.04800000,Unknown,Unknown
PRIVATE,Detached Home,0.00100000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.00400000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.10100000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00100000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.01300000,Unknown,Unknown
PRIVATE,Detached Home,0.00000000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.08300000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00000000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.10800000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00100000,Unknown,Unknown
PRIVATE,Detached Home,0.11900000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Miscellaneous Buildings on Residential Land,0.13500000,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.18700000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.13600000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.10100000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Retail Premises,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.10100000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.23600000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.20800000,Unknown,Unknown
PRIVATE,Retail Premises (single occupancy/single title/single stratum),0.12900000,Unknown,Unknown
PRIVATE,Detached Home,0.17200000,Unknown,Unknown
PRIVATE,Detached Home,0.11900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),14.60700000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.39400000,Unknown,Unknown
PUBLIC,Nature Reserve,1.92400000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.37900000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.73600000,Unknown,Unknown
PUBLIC,Nature Reserve,1.52400000,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.12700000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.34100000,Unknown,Unknown
PRIVATE,Detached Home,0.20000000,Unknown,Unknown
PRIVATE,Detached Home,0.19800000,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.16700000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.20000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19700000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19900000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20000000,Unknown,Unknown
PRIVATE,Industrial Land (with buildings which add no value),1.14400000,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.08400000,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.07800000,Unknown,Unknown
PRIVATE,Health Clinic,0.11300000,Unknown,Unknown
PRIVATE,Detached Home,0.03500000,Unknown,Unknown
PRIVATE,Detached Home,0.06400000,Unknown,Unknown
PRIVATE,Detached Home,0.08400000,Unknown,Unknown
PRIVATE,Industrial Land (with buildings which add no value),1.19200000,Unknown,Unknown
PRIVATE,Detached Home,0.08900000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.09800000,Unknown,Unknown
PRIVATE,Detached Home,0.00200000,Unknown,Unknown
PRIVATE,Detached Home,0.11100000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.02400000,Unknown,Unknown
PRIVATE,Detached Home,0.09700000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.17500000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.10100000,Unknown,Unknown
PRIVATE,Detached Home,0.10400000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.08000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00300000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07000000,Unknown,Unknown
PRIVATE,Detached Home,0.08000000,Unknown,Unknown
PRIVATE,Detached Home,0.00600000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.02000000,Unknown,Unknown
PRIVATE,Detached Home,0.07400000,Unknown,Unknown
PRIVATE,Detached Home,0.01400000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.08000000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.05700000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.01300000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),53.08500000,Pasture and grassland,Pasture and grassland
PUBLIC,Nature Reserve,59.49900000,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),32.60400000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),31.23300000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.19700000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.49000000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),17.87400000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),3.46200000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,11.83400000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),2.74000000,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),16.49300000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),3.24000000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.38600000,Pasture and grassland,Pasture and grassland
PUBLIC,Forest Reserves - Public,0.13800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.84500000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,75.48100000,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Dairy Cattle),17.86400000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),51.23100000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),16.15600000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),3.61500000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.43000000,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.47900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),5.62900000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),2.99200000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),28.73300000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),3.84000000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),4.03200000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),4.09600000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),23.41700000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),8.56000000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.03700000,Unknown,Unknown
PUBLIC,Reserved Land,0.89200000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,10.68400000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,30.07900000,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,5.84700000,Unknown,Unknown
