LU_DESC,LC_DESC_14,LC_DESC_15,HECTARES,TENURE
National Park - Land,Unknown,Unknown,0.33068121,PUBLIC
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,111.65474893,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,6.18778832,PRIVATE
National Park - Land,Unknown,Unknown,1.00297441,PUBLIC
Separate House and Curtilage,Unknown,Unknown,2.54232118,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,28.51455922,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.27964241,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,56.77568028,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,107.74550169,PRIVATE
Livestock Production (Beef Cattle),Softwood Plantation,Softwood Plantation,49.15606981,PRIVATE
National Park - Land,Unknown,Unknown,4.53928159,PUBLIC
National Park - Land,Native woody cover,Native woody cover,133.13641802,PUBLIC
Native Hardwood (standing timber),Softwood Plantation,Softwood Plantation,230.11929590,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,53.08487240,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,12.11416944,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Softwood Plantation,Native woody cover,31.97239419,PRIVATE
Livestock Production (Beef Cattle),Hardwood plantation,Pasture and grassland,24.71922259,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Unknown,Unknown,0.93433061,PRIVATE
Separate House and Curtilage,Pasture and grassland,Pasture and grassland,13.95235268,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,101.50054972,PRIVATE
Separate House and Curtilage,Unknown,Unknown,5.77648940,PRIVATE
Reserved Land,Native woody cover,Native woody cover,112.40981975,PUBLIC
Separate House and Curtilage,Unknown,Unknown,9.22271186,PRIVATE
Separate House and Curtilage,Unknown,Unknown,6.58928323,PRIVATE
Separate House and Curtilage,Unknown,Unknown,6.96192093,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,32.60355001,PRIVATE
Softwood Plantation,Pasture and grassland,Pasture and grassland,86.55308678,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,0.19709128,PRIVATE
Livestock Production (Beef Cattle),Unknown,Unknown,0.49022822,PRIVATE
Miscellaneous Building on Residential Rural Land (>1 and<20ha),Unknown,Unknown,3.47687346,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,17.87410914,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,7.67808261,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.46742259,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,3.18121503,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.78728814,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.46156337,PRIVATE
Separate House and Curtilage,Unknown,Unknown,2.73972665,PRIVATE
Unclassified Private Land,Softwood Plantation,Pasture and grassland,47.70118378,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.24042150,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,17.38587505,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.84491689,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,17.86386070,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,51.23073099,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.61521113,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,3.47949541,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,5.62905629,PRIVATE
Separate House and Curtilage,Unknown,Unknown,2.99153789,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,28.73307863,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,49.66406278,PRIVATE
Unclassified Private Land,Unknown,Unknown,7.04487047,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,3.84010955,PRIVATE
Separate House and Curtilage,Unknown,Unknown,4.03202256,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,11.97439691,PRIVATE
Separate House and Curtilage,Unknown,Unknown,8.55998919,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,17.32561973,PRIVATE
Separate House and Curtilage,Unknown,Unknown,5.18664837,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.20622535,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.62488765,PRIVATE
Separate House and Curtilage,Unknown,Unknown,9.85745653,PRIVATE
Separate House and Curtilage,Pasture and grassland,Pasture and grassland,14.09617452,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,32.18500684,PRIVATE
Water Supply,Native woody cover,Native woody cover,26.61044237,PUBLIC
National Park - Land,Native woody cover,Native woody cover,54.98806567,PUBLIC
Forest Reserves - Public,Unknown,Unknown,3.03768528,PUBLIC
Water Supply,Native woody cover,Native woody cover,12.99240329,PUBLIC
National Park - Land,Native woody cover,Native woody cover,32.32894973,PUBLIC
National Park - Land,Native woody cover,Native woody cover,24.27244944,PUBLIC
Water Supply,Native woody cover,Native woody cover,219.28447592,PUBLIC
National Park - Land,Unknown,Unknown,0.22111171,PUBLIC
National Park - Land,Unknown,Unknown,0.72333766,PUBLIC
Forest Reserves - Public,Unknown,Unknown,3.44655275,PUBLIC
National Park - Land,Native woody cover,Native woody cover,28.55823012,PUBLIC
Forest Reserves - Public,Unknown,Unknown,1.24462592,PUBLIC
Water Supply,Unknown,Unknown,2.84940712,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.35459794,PRIVATE
National Park - Land,Unknown,Unknown,0.16907925,PUBLIC
Water Supply,Native woody cover,Native woody cover,37.09405502,PUBLIC
Water Supply,Unknown,Unknown,0.69820083,PUBLIC
Water Supply,Native woody cover,Native woody cover,31.96546843,PUBLIC
Water Supply,Native woody cover,Native woody cover,33.10597340,PUBLIC
Water Supply,Unknown,Unknown,0.56484845,PUBLIC
Water Supply,Native woody cover,Native woody cover,83.34193898,PUBLIC
National Park - Land,Native woody cover,Native woody cover,44.98252118,PUBLIC
Forest Reserves - Public,Unknown,Unknown,0.45640561,PUBLIC
Water Supply,Unknown,Unknown,0.03636277,PUBLIC
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.06954380,PRIVATE
Detached Home,Unknown,Unknown,0.00631889,PRIVATE
Detached Home,Unknown,Unknown,0.01968699,PRIVATE
Detached Home,Unknown,Unknown,0.07436726,PRIVATE
Detached Home,Unknown,Unknown,0.01405308,PRIVATE
Detached Home,Unknown,Unknown,0.07110172,PRIVATE
Detached Home,Unknown,Unknown,0.05653830,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.01315076,PRIVATE
Detached Home,Unknown,Unknown,0.02502191,PRIVATE
Detached Home,Unknown,Unknown,0.03921288,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.06064214,PRIVATE
Detached Home,Unknown,Unknown,0.04939993,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.01107325,PRIVATE
Detached Home,Unknown,Unknown,0.00039197,PRIVATE
Detached Home,Unknown,Unknown,0.00577477,PRIVATE
Detached Home,Unknown,Unknown,0.07851123,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.05445363,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.02018644,PRIVATE
Detached Home,Unknown,Unknown,0.01936211,PRIVATE
Detached Home,Unknown,Unknown,0.00242463,PRIVATE
Detached Home,Unknown,Unknown,0.09731137,PRIVATE
Detached Home,Unknown,Unknown,0.03701141,PRIVATE
Detached Home,Unknown,Unknown,0.04793228,PRIVATE
Detached Home,Unknown,Unknown,0.00135618,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.00375977,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.10107394,PRIVATE
Detached Home,Unknown,Unknown,0.00083261,PRIVATE
Detached Home,Unknown,Unknown,0.01318206,PRIVATE
Detached Home,Unknown,Unknown,0.00011209,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.08308481,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.00011154,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.10106801,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.00015748,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.10781814,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.00055514,PRIVATE
Detached Home,Unknown,Unknown,0.11898742,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.13506394,PRIVATE
Detached Home,Unknown,Unknown,0.22431278,PRIVATE
Detached Home,Unknown,Unknown,0.13577513,PRIVATE
Detached Home,Unknown,Unknown,0.19263629,PRIVATE
Retail Premises,Unknown,Unknown,0.08010564,PRIVATE
Detached Home,Unknown,Unknown,0.19263316,PRIVATE
Detached Home,Unknown,Unknown,0.08010487,PRIVATE
Detached Home,Unknown,Unknown,0.08010326,PRIVATE
General Purpose Warehouse,Unknown,Unknown,0.19263148,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09631971,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09631682,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09631828,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.09631288,PRIVATE
Separate House and Curtilage,Native woody cover,Native woody cover,13.85609441,PRIVATE
National Park - Land,Softwood Plantation,Native woody cover,68.76972212,PUBLIC
Water Supply,Unknown,Unknown,2.36486813,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.70703448,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.31571748,PUBLIC
Water Supply,Unknown,Unknown,7.66496524,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.11368822,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.20476138,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.65305450,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.07985267,PRIVATE
Detached Home,Unknown,Unknown,0.10091678,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,0.20838644,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.09107316,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.01230075,PRIVATE
Detached Home,Unknown,Unknown,0.14622013,PRIVATE
Detached Home,Unknown,Unknown,0.22333822,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.09450278,PUBLIC
Detached Home,Unknown,Unknown,0.18688034,PRIVATE
Detached Home,Unknown,Unknown,0.10344310,PRIVATE
Water Supply,Unknown,Unknown,0.70521759,PUBLIC
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.16055804,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.81165640,PRIVATE
Detached Home,Unknown,Unknown,0.20510967,PRIVATE
Detached Home,Unknown,Unknown,0.20510991,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.84774540,PRIVATE
Detached Home,Unknown,Unknown,0.20510496,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.84772855,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.21024507,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.84772758,PRIVATE
Forest Reserves - Public,Unknown,Unknown,0.63540620,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.99290527,PRIVATE
Forest Reserves - Public,Unknown,Unknown,1.33241145,PUBLIC
Forest Reserves - Public,Unknown,Unknown,1.54754036,PUBLIC
Reserved Land,Unknown,Unknown,0.21874892,PUBLIC
Reserved Land,Unknown,Unknown,0.06387814,PUBLIC
Forest Reserves - Public,Unknown,Unknown,1.05728526,PUBLIC
Separate House and Curtilage,Unknown,Unknown,1.50956767,PRIVATE
Detached Home,Unknown,Unknown,0.07894755,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.07895332,PRIVATE
Detached Home,Unknown,Unknown,0.07894684,PRIVATE
Detached Home,Unknown,Unknown,0.07895012,PRIVATE
Detached Home,Unknown,Unknown,0.07894749,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.07895182,PRIVATE
Detached Home,Unknown,Unknown,0.25641741,PRIVATE
Detached Home,Unknown,Unknown,0.07894736,PRIVATE
Detached Home,Unknown,Unknown,0.15790144,PRIVATE
Detached Home,Unknown,Unknown,0.39112186,PRIVATE
Reserved Land,Unknown,Unknown,0.70423483,PUBLIC
Water Supply,Unknown,Unknown,0.20287511,PUBLIC
Separate House and Curtilage,Unknown,Unknown,2.42758422,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.73638649,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.93811871,PRIVATE
Separate House and Curtilage,Unknown,Unknown,1.81422989,PRIVATE
Community Service Facilities or Other,Unknown,Unknown,0.23986853,PUBLIC
Nature Reserve,Pasture and grassland,Pasture and grassland,59.49884405,PUBLIC
Community Service Facilities or Other,Unknown,Unknown,2.00540884,PUBLIC
Detached Home,Unknown,Unknown,0.24785896,PRIVATE
Detached Home,Unknown,Unknown,0.14244677,PRIVATE
Detached Home,Unknown,Unknown,0.07767164,PRIVATE
Reserved Land,Unknown,Unknown,0.06657897,PUBLIC
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,26.29048779,PRIVATE
Detached Home,Unknown,Unknown,0.15876895,PRIVATE
Community Service Facilities or Other,Unknown,Unknown,0.24462880,PUBLIC
Short Term Holiday Accommodation,Unknown,Unknown,0.11845668,PRIVATE
Detached Home,Unknown,Unknown,0.28252816,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.18992466,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.86346611,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.48620642,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.67354146,PRIVATE
Separate House and Curtilage,Unknown,Unknown,4.51390629,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.91231085,PRIVATE
Detached Home,Unknown,Unknown,0.26231196,PRIVATE
Detached Home,Unknown,Unknown,0.22652824,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,5.18819209,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.42150477,PRIVATE
Detached Home,Unknown,Unknown,0.20987594,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.51941014,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,3.43239216,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.40486793,PRIVATE
Detached Home,Unknown,Unknown,0.26685393,PRIVATE
Detached Home,Unknown,Unknown,0.26651552,PRIVATE
Detached Home,Unknown,Unknown,0.39016280,PRIVATE
Separate House and Curtilage,Unknown,Unknown,0.60906031,PRIVATE
Detached Home,Unknown,Unknown,0.22229062,PRIVATE
Detached Home,Unknown,Unknown,0.16939720,PRIVATE
Detached Home,Unknown,Unknown,0.15977618,PRIVATE
Detached Home,Unknown,Unknown,0.06687557,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.15566435,PRIVATE
Detached Home,Unknown,Unknown,0.31990429,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,3.86995405,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,20.29149181,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,2.39179557,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.62444825,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.13781595,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.06050120,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.26913093,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.52794457,PRIVATE
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,31.23302335,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,1.37938959,PRIVATE
Detached Home,Unknown,Unknown,0.09764379,PRIVATE
Detached Home,Unknown,Unknown,0.08864024,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.19663156,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.64274074,PRIVATE
Detached Home,Unknown,Unknown,0.08010722,PRIVATE
Detached Home,Unknown,Unknown,0.08010583,PRIVATE
Detached Home,Unknown,Unknown,0.14478029,PRIVATE
Detached Home,Unknown,Unknown,0.06437252,PRIVATE
Detached Home,Unknown,Unknown,0.08010504,PRIVATE
Detached Home,Unknown,Unknown,0.03483828,PRIVATE
Detached Home,Unknown,Unknown,0.08010620,PRIVATE
Detached Home,Unknown,Unknown,0.10117836,PRIVATE
Detached Home,Unknown,Unknown,0.08010715,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,0.10117473,PRIVATE
Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,Unknown,Unknown,0.07823835,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,0.08010123,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.10117452,PRIVATE
Detached Home,Unknown,Unknown,0.08010679,PRIVATE
Detached Home,Unknown,Unknown,0.10117072,PRIVATE
Miscellaneous Buildings on Residential Land,Unknown,Unknown,0.19903841,PRIVATE
Detached Home,Unknown,Unknown,0.19816560,PRIVATE
Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,Unknown,Unknown,0.08413385,PRIVATE
Detached Home,Unknown,Unknown,0.08010692,PRIVATE
Detached Home,Unknown,Unknown,0.10117665,PRIVATE
Detached Home,Unknown,Unknown,0.08010593,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.10117515,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.08010227,PRIVATE
Detached Home,Unknown,Unknown,0.17175817,PRIVATE
Detached Home,Unknown,Unknown,0.08010639,PRIVATE
Detached Home,Unknown,Unknown,0.20008231,PRIVATE
Detached Home,Unknown,Unknown,0.08010643,PRIVATE
Retail Premises (single occupancy/single title/single stratum),Unknown,Unknown,0.12929770,PRIVATE
Detached Home,Unknown,Unknown,0.08010498,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,0.08010049,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.10006082,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.20013787,PRIVATE
Detached Home,Unknown,Unknown,0.20813008,PRIVATE
Detached Home,Unknown,Unknown,0.08351931,PRIVATE
Health Clinic,Unknown,Unknown,0.11275192,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.20013912,PRIVATE
Detached Home,Unknown,Unknown,0.23629504,PRIVATE
Vacant Residential Home Site / Surveyed Lot,Unknown,Unknown,0.20014120,PRIVATE
Detached Home,Unknown,Unknown,0.10141234,PRIVATE
"Church, Temple, Synagogue, etc",Unknown,Unknown,0.10137989,PRIVATE
Detached Home,Unknown,Unknown,0.11913063,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.19995443,PRIVATE
Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,Unknown,Unknown,0.18657102,PRIVATE
Unclassified Private Land,Unknown,Unknown,0.10007705,PRIVATE
National Park - Land,Unknown,Unknown,4.32167607,PUBLIC
National Park - Land,Native woody cover,Native woody cover,40.80155218,PUBLIC
National Park - Land,Unknown,Unknown,8.30261762,PUBLIC
National Park - Land,Native woody cover,Native woody cover,12.61891904,PUBLIC
National Park - Land,Native woody cover,Native woody cover,13.57959611,PUBLIC
National Park - Land,Native woody cover,Native woody cover,41.44429384,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Softwood Plantation,Softwood Plantation,23.51329860,PRIVATE
National Park - Land,Native woody cover,Native woody cover,167.00847482,PUBLIC
National Park - Land,Unknown,Unknown,0.18764571,PUBLIC
Water Supply,Native woody cover,Native woody cover,60.44015248,PUBLIC
National Park - Land,Unknown,Unknown,0.03074387,PUBLIC
Water Supply,Unknown,Unknown,0.31031870,PUBLIC
National Park - Land,Unknown,Unknown,1.49733509,PUBLIC
National Park - Land,Unknown,Unknown,0.10922484,PUBLIC
Water Supply,Unknown,Unknown,5.14851413,PUBLIC
National Park - Land,Unknown,Unknown,0.03434479,PUBLIC
National Park - Land,Unknown,Unknown,11.27023324,PUBLIC
National Park - Land,Native woody cover,Pasture and grassland,72.39989363,PUBLIC
National Park - Land,Unknown,Unknown,1.08127117,PUBLIC
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,12.58621144,PRIVATE
National Park - Land,Unknown,Unknown,0.05105919,PUBLIC
National Park - Land,Unknown,Unknown,0.01826103,PUBLIC
National Park - Land,Unknown,Unknown,0.60744005,PUBLIC
Separate House and Curtilage,Unknown,Unknown,12.11219785,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,17.34538127,PRIVATE
Separate House and Curtilage,Pasture and grassland,Pasture and grassland,13.46969120,PRIVATE
Water Supply,Softwood Plantation,Native woody cover,16.82314633,PUBLIC
Separate House and Curtilage,Unknown,Unknown,5.51803571,PRIVATE
Water Supply,Unknown,Unknown,0.87972775,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,2.46192263,PRIVATE
Nature Reserve,Unknown,Unknown,1.01083841,PUBLIC
Nature Reserve,Unknown,Unknown,0.27364559,PUBLIC
Nature Reserve,Unknown,Unknown,2.50902038,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,1.18917877,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.32126657,PRIVATE
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,0.40984162,PRIVATE
Reserved Land,Unknown,Unknown,0.33914223,PUBLIC
Water Supply,Unknown,Unknown,1.69620836,PUBLIC
Water Supply,Unknown,Unknown,1.92526045,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.18860937,PRIVATE
Water Supply,Unknown,Unknown,2.31330776,PUBLIC
Detached Home,Unknown,Unknown,0.10740383,PRIVATE
Water Supply,Unknown,Unknown,0.38513419,PUBLIC
Detached Home,Unknown,Unknown,0.12500322,PRIVATE
Detached Home,Unknown,Unknown,0.15156721,PRIVATE
Water Supply,Unknown,Unknown,2.44114582,PUBLIC
Community Service Facilities or Other,Unknown,Unknown,0.84148124,PUBLIC
Separate House and Curtilage,Unknown,Unknown,0.25253746,PRIVATE
Detached Home,Unknown,Unknown,0.12959249,PRIVATE
Detached Home,Unknown,Unknown,0.12133479,PRIVATE
Detached Home,Unknown,Unknown,0.12133093,PRIVATE
Detached Home,Unknown,Unknown,0.12133432,PRIVATE
Detached Home,Unknown,Unknown,0.19942765,PRIVATE
Detached Home,Unknown,Unknown,0.14755631,PRIVATE
Detached Home,Unknown,Unknown,0.12664595,PRIVATE
Detached Home,Unknown,Unknown,0.23972096,PRIVATE
Detached Home,Unknown,Unknown,0.23626978,PRIVATE
Short Term Holiday Accommodation,Unknown,Unknown,0.15186895,PRIVATE
Detached Home,Unknown,Unknown,0.15199188,PRIVATE
"Unspecified - Transport, Storage, Utilities and Communication",Unknown,Unknown,0.23465903,PUBLIC
Police Facility,Unknown,Unknown,0.08581502,PRIVATE
Detached Home,Unknown,Unknown,0.15196568,PRIVATE
