LU_DESC,HECTARES,TENURE,LC_DESC_16
Livestock Production (Dairy Cattle),3.84491689,PRIVATE,Unknown
Separate House and Curtilage,2.73972665,PRIVATE,Unknown
Livestock Production (Beef Cattle),0.49022822,PRIVATE,Unknown
Separate House and Curtilage,3.46156337,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),7.67808261,PRIVATE,Unknown
Separate House and Curtilage,3.78728814,PRIVATE,Unknown
Livestock Production (Beef Cattle),0.19709128,PRIVATE,Unknown
Separate House and Curtilage,6.96192093,PRIVATE,Unknown
Short Term Holiday Accommodation,3.18121503,PRIVATE,Unknown
Separate House and Curtilage,9.22271186,PRIVATE,Unknown
Separate House and Curtilage,3.46742259,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),0.93433061,PRIVATE,Unknown
Miscellaneous Building on Residential Rural Land (>1 and<20ha),3.47687346,PRIVATE,Unknown
Separate House and Curtilage,13.95235268,PRIVATE,Pasture and grassland
Separate House and Curtilage,6.58928323,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),12.11416944,PRIVATE,Unknown
Separate House and Curtilage,5.77648940,PRIVATE,Unknown
Forest Reserves - Public,2.07511635,PUBLIC,Unknown
Forest Reserves - Public,112.23289027,PUBLIC,Native woody cover
Forest Reserves - Public,5.84696312,PUBLIC,Unknown
Forest Reserves - Public,30.07928815,PUBLIC,Native woody cover
Forest Reserves - Public,0.22361871,PUBLIC,Unknown
Forest Reserves - Public,0.32364563,PUBLIC,Unknown
Forest Reserves - Public,7.28146098,PUBLIC,Unknown
Forest Reserves - Public,2.15882259,PUBLIC,Unknown
Forest Reserves - Public,1.43167440,PUBLIC,Unknown
Forest Reserves - Public,31.60386609,PUBLIC,Native woody cover
Forest Reserves - Public,6.41941663,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),6.69235415,PRIVATE,Unknown
Livestock Production (Beef Cattle),32.03108804,PRIVATE,Native woody cover
Native Vegetation / Bushland Without Covenant / Agreement,24.00675881,PRIVATE,Hardwood plantation
Forest Reserves - Public,0.49199523,PUBLIC,Unknown
Forest Reserves - Public,10.68426953,PUBLIC,Unknown
Forest Reserves - Public,0.03708893,PUBLIC,Unknown
Forest Reserves - Public,75.48087223,PUBLIC,Native woody cover
Livestock Production (Dairy Cattle),26.29048779,PRIVATE,Pasture and grassland
Forest Reserves - Public,0.30949944,PUBLIC,Unknown
Livestock Production (Dairy Cattle),16.53689408,PRIVATE,Hardwood plantation
Livestock Production (Beef Cattle),6.59149178,PRIVATE,Unknown
Forest Reserves - Public,0.42969502,PUBLIC,Unknown
Livestock Production (Beef Cattle),25.42776694,PRIVATE,Softwood Plantation
Forest Reserves - Public,0.98919915,PUBLIC,Unknown
Forest Reserves - Public,3.33889637,PUBLIC,Unknown
Mixed farming and grazing  (generally more than 20ha),12.58493449,PRIVATE,Pasture and grassland
Reserved Land,0.06657897,PUBLIC,Unknown
Livestock Production (Dairy Cattle),2.39179557,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),5.18819209,PRIVATE,Unknown
Livestock Production (Dairy Cattle),20.29149181,PRIVATE,Pasture and grassland
Unclassified Private Land,43.66846695,PRIVATE,Pasture and grassland
Separate House and Curtilage,4.51390629,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.62444825,PRIVATE,Unknown
Separate House and Curtilage,0.86346611,PRIVATE,Unknown
Separate House and Curtilage,0.67354146,PRIVATE,Unknown
Separate House and Curtilage,0.18992466,PRIVATE,Unknown
Detached Home,0.28252816,PRIVATE,Unknown
Short Term Holiday Accommodation,0.11845668,PRIVATE,Unknown
Community Service Facilities or Other,0.24462880,PUBLIC,Unknown
Community Service Facilities or Other,2.00540884,PUBLIC,Unknown
Separate House and Curtilage,0.51941014,PRIVATE,Unknown
Detached Home,0.07767164,PRIVATE,Unknown
Detached Home,0.20987594,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.43239216,PRIVATE,Unknown
Detached Home,0.39016280,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.42150477,PRIVATE,Unknown
Detached Home,0.26231196,PRIVATE,Unknown
Separate House and Curtilage,0.48620642,PRIVATE,Unknown
Softwood Plantation,129.46475162,PRIVATE,Softwood Plantation
Reserved Land,112.40981975,PUBLIC,Native woody cover
Forest Reserves - Public,8.41694641,PUBLIC,Unknown
Reserved Land,513.59219668,PUBLIC,Native woody cover
Separate House and Curtilage,19.38722747,PRIVATE,Hardwood plantation
Reserved Land,230.10583501,PUBLIC,Native woody cover
Forest Reserves - Public,5.29842310,PUBLIC,Unknown
Forest Reserves - Public,126.81371886,PUBLIC,Native woody cover
Native Hardwood (standing timber),230.11929590,PRIVATE,Softwood Plantation
Forest Reserves - Public,10.20606492,PUBLIC,Unknown
Forest Reserves - Public,0.45640561,PUBLIC,Unknown
Softwood Plantation,48.82620002,PRIVATE,Softwood Plantation
Softwood Plantation,96.42892897,PRIVATE,Softwood Plantation
Softwood Plantation,27.55789215,PRIVATE,Softwood Plantation
Forest Reserves - Public,1.14732599,PUBLIC,Unknown
Softwood Plantation,70.71778645,PRIVATE,Softwood Plantation
Softwood Plantation,73.33681942,PRIVATE,Softwood Plantation
Reserved Land,0.69188334,PUBLIC,Unknown
Forest Reserves - Public,8.93023027,PUBLIC,Unknown
Softwood Plantation,127.70911676,PRIVATE,Softwood Plantation
Forest Reserves - Public,2.21191959,PUBLIC,Unknown
Softwood Plantation,83.32043342,PRIVATE,Softwood Plantation
Native Hardwood (standing timber),19.62436349,PRIVATE,Softwood Plantation
Native Hardwood (standing timber),19.15498030,PRIVATE,Softwood Plantation
Softwood Plantation,44.93578816,PRIVATE,Softwood Plantation
Unclassified Private Land,0.86342588,PRIVATE,Unknown
Community Service Facilities or Other,4.83079568,PUBLIC,Unknown
Nature Reserve,0.27364559,PUBLIC,Unknown
Reserved Land,0.39414812,PUBLIC,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",0.13145022,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.32126657,PRIVATE,Unknown
Livestock Production (Dairy Cattle),14.60720326,PRIVATE,Pasture and grassland
Nature Reserve,7.63659786,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.18917877,PRIVATE,Unknown
Nature Reserve,1.52418502,PUBLIC,Unknown
Forest Reserves - Public,3.91367569,PUBLIC,Unknown
Outdoor Sports Grounds - town or suburban facilities,3.12667604,PRIVATE,Unknown
Nature Reserve,1.92377931,PUBLIC,Unknown
Industrial Land (with buildings which add no value),1.19221222,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),5.07591583,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.40984162,PRIVATE,Unknown
Industrial Land (with buildings which add no value),1.14446398,PRIVATE,Unknown
Livestock Production (Dairy Cattle),11.16818387,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.80151048,PRIVATE,Unknown
Separate House and Curtilage,2.55503371,PRIVATE,Unknown
Outdoor Sports Grounds - town or suburban facilities,3.16744719,PRIVATE,Unknown
Forest Reserves - Public,0.91666474,PUBLIC,Unknown
Forest Reserves - Public,0.75956674,PUBLIC,Unknown
Forest Reserves - Public,1.89902112,PUBLIC,Unknown
Reserved Land,0.54741464,PUBLIC,Unknown
Outdoor Sports Grounds - town or suburban facilities,0.34126825,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.72556677,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.16096076,PRIVATE,Unknown
Livestock Production (Dairy Cattle),1.37938959,PRIVATE,Unknown
Reserved Land,0.24803583,PUBLIC,Unknown
Vacant Residential Home Site / Surveyed Lot,0.19663156,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.64274074,PRIVATE,Unknown
Detached Home,0.10117836,PRIVATE,Unknown
Short Term Holiday Accommodation,0.10117473,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.10117452,PRIVATE,Unknown
Miscellaneous Buildings on Residential Land,0.19903841,PRIVATE,Unknown
Detached Home,0.19816560,PRIVATE,Unknown
Separate House and Curtilage,0.38541529,PRIVATE,Unknown
Detached Home,0.20008231,PRIVATE,Unknown
Separate House and Curtilage,2.42758422,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.73638649,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.20013787,PRIVATE,Unknown
Unclassified Private Land,0.10006082,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.20013912,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.20014120,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.93811871,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.19995443,PRIVATE,Unknown
Unclassified Private Land,0.10007705,PRIVATE,Unknown
Detached Home,0.14244677,PRIVATE,Unknown
Softwood Plantation,114.89321351,PRIVATE,Hardwood plantation
Nature Reserve,11.20059362,PUBLIC,Unknown
Livestock Production (Beef Cattle),38.35453379,PRIVATE,Pasture and grassland
Forest Reserves - Public,3.44655275,PUBLIC,Unknown
Forest Reserves - Public,3.03768528,PUBLIC,Unknown
Forest Reserves - Public,126.16188585,PUBLIC,Native woody cover
Reserved Land,0.70423483,PUBLIC,Unknown
Forest Reserves - Public,1.24462592,PUBLIC,Unknown
Forest Reserves - Public,49.86197418,PUBLIC,Native woody cover
Detached Home,0.39112186,PRIVATE,Unknown
Detached Home,0.25641741,PRIVATE,Unknown
Detached Home,0.15790144,PRIVATE,Unknown
Separate House and Curtilage,1.50956767,PRIVATE,Unknown
Detached Home,0.07894736,PRIVATE,Unknown
Forest Reserves - Public,1.05728526,PUBLIC,Unknown
Unclassified Private Land,23.65996579,PRIVATE,Pasture and grassland
Vacant Residential Home Site / Surveyed Lot,0.07895182,PRIVATE,Unknown
Detached Home,0.07894749,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),31.93632599,PRIVATE,Pasture and grassland
Detached Home,0.07895012,PRIVATE,Unknown
Forest Reserves - Public,1.33241145,PUBLIC,Unknown
Detached Home,0.07894684,PRIVATE,Unknown
Livestock Production (Dairy Cattle),19.86869729,PRIVATE,Pasture and grassland
Vacant Residential Home Site / Surveyed Lot,0.07895332,PRIVATE,Unknown
Forest Reserves - Public,0.63540620,PUBLIC,Unknown
Detached Home,0.07894755,PRIVATE,Unknown
Separate House and Curtilage,1.21024507,PRIVATE,Unknown
Forest Reserves - Public,1.54754036,PUBLIC,Unknown
Separate House and Curtilage,1.65305450,PRIVATE,Unknown
Nature Reserve,3.38013558,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),11.85114505,PRIVATE,Unknown
Separate House and Curtilage,0.99290527,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.81165640,PRIVATE,Unknown
Livestock Production (Dairy Cattle),17.93671741,PRIVATE,Pasture and grassland
Separate House and Curtilage,1.01230075,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.70703448,PRIVATE,Unknown
Community Service Facilities or Other,0.84148124,PUBLIC,Unknown
Separate House and Curtilage,0.84772758,PRIVATE,Unknown
Reserved Land,0.21874892,PUBLIC,Unknown
Reserved Land,0.06387814,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.84772855,PRIVATE,Unknown
Nature Reserve,2.50902038,PUBLIC,Unknown
Separate House and Curtilage,3.05388811,PRIVATE,Unknown
Separate House and Curtilage,0.84774540,PRIVATE,Unknown
Separate House and Curtilage,5.85190497,PRIVATE,Unknown
Separate House and Curtilage,12.15108337,PRIVATE,Unknown
Reserved Land,0.33914223,PUBLIC,Unknown
Livestock Production (Dairy Cattle),0.05661551,PRIVATE,Unknown
Detached Home,0.14478029,PRIVATE,Unknown
Livestock Production (Dairy Cattle),36.94055429,PRIVATE,Pasture and grassland
Forest Reserves - Public,13.49388877,PUBLIC,Native woody cover
Forest Reserves - Public,7.53041426,PUBLIC,Unknown
Livestock Production (Dairy Cattle),3.63472437,PRIVATE,Unknown
Livestock Production (Dairy Cattle),5.32763976,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),1.23014923,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),13.13180335,PRIVATE,Native woody cover
Mixed farming and grazing  (generally more than 20ha),5.36749766,PRIVATE,Unknown
Reserved Land,0.35487043,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),4.92512881,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.30876573,PRIVATE,Unknown
Reserved Land,4.09622952,PUBLIC,Unknown
Nature Reserve,1.92043373,PUBLIC,Unknown
Unclassified Private Land,0.93719500,PRIVATE,Unknown
Reserved Land,12.36883296,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.97759616,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.11015844,PRIVATE,Unknown
Forest Reserves - Public,3.41824558,PUBLIC,Unknown
Reserved Land,0.19237880,PUBLIC,Unknown
Unclassified Private Land,0.83819699,PRIVATE,Unknown
Community Service Facilities or Other,3.84191063,PUBLIC,Unknown
Miscellaneous Building on Residential Rural Land (>1 and<20ha),1.65519015,PRIVATE,Unknown
Separate House and Curtilage,0.83284234,PRIVATE,Unknown
Reserved Land,0.01461271,PUBLIC,Unknown
Nature Reserve,3.07846502,PUBLIC,Unknown
Reserved Land,0.36749170,PUBLIC,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.56256351,PRIVATE,Unknown
Livestock Production (Dairy Cattle),8.44606786,PRIVATE,Unknown
Forest Reserves - Public,133.57973599,PUBLIC,Native woody cover
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.50938391,PRIVATE,Unknown
Forest Reserves - Public,0.11113711,PUBLIC,Unknown
Nature Reserve,3.47895720,PUBLIC,Unknown
Livestock Production (Dairy Cattle),6.71619862,PRIVATE,Unknown
Forest Reserves - Public,0.10245514,PUBLIC,Unknown
Forest Reserves - Public,3.78137867,PUBLIC,Unknown
Reserved Land,0.11550234,PUBLIC,Unknown
Livestock Production (Dairy Cattle),0.92317980,PRIVATE,Unknown
Suburban and Rural Roads,0.68776656,PRIVATE,Unknown
Separate House and Curtilage,9.96803448,PRIVATE,Unknown
Livestock Production (Dairy Cattle),6.48605399,PRIVATE,Unknown
Forest Reserves - Public,19.31340559,PUBLIC,Native woody cover
Forest Reserves - Public,3.57379373,PUBLIC,Unknown
Telephone Exchange - Purpose Built,13.98678344,PRIVATE,Pasture and grassland
Forest Reserves - Public,186.14209034,PUBLIC,Native woody cover
"Unspecified - Transport, Storage, Utilities and Communication",3.36410700,PUBLIC,Unknown
Forest Reserves - Public,166.96448554,PUBLIC,Softwood Plantation
Forest Reserves - Public,1.06177746,PUBLIC,Unknown
Livestock Production (Dairy Cattle),23.29527351,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),82.10609423,PRIVATE,Pasture and grassland
Unclassified Private Land,35.58288080,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),1.65339064,PRIVATE,Unknown
Livestock Production (Dairy Cattle),80.41858506,PRIVATE,Pasture and grassland
Unclassified Private Land,1.32210951,PRIVATE,Unknown
Separate House and Curtilage,0.60135428,PRIVATE,Unknown
Detached Home,0.32694993,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.17623284,PRIVATE,Unknown
Separate House and Curtilage,0.75463552,PRIVATE,Unknown
Separate House and Curtilage,0.19864828,PRIVATE,Unknown
Livestock Production (Dairy Cattle),7.74842910,PRIVATE,Unknown
Livestock Production (Beef Cattle),0.14299473,PRIVATE,Unknown
Separate House and Curtilage,0.18687318,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.02796083,PRIVATE,Unknown
Separate House and Curtilage,1.03717619,PRIVATE,Unknown
Unclassified Private Land,0.24403481,PRIVATE,Unknown
Unclassified Private Land,0.50356963,PRIVATE,Unknown
Separate House and Curtilage,1.07965975,PRIVATE,Unknown
"Unspecified - Transport, Storage, Utilities and Communication",1.79069414,PUBLIC,Unknown
Nature Reserve,4.02870211,PUBLIC,Unknown
Livestock Production (Dairy Cattle),0.03130643,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.19443047,PRIVATE,Unknown
Nature Reserve,0.78108165,PUBLIC,Unknown
Unclassified Private Land,0.21600297,PRIVATE,Unknown
Unclassified Private Land,1.36025011,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),81.28979921,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),40.01185972,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),3.46887394,PRIVATE,Unknown
Unclassified Private Land,0.08085697,PRIVATE,Unknown
Nature Reserve,0.18026060,PUBLIC,Unknown
Suburban and Rural Roads,1.33614342,PRIVATE,Unknown
Livestock Production (Dairy Cattle),9.40892335,PRIVATE,Unknown
Separate House and Curtilage,13.99219193,PRIVATE,Pasture and grassland
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),19.19568524,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),36.92795150,PRIVATE,Pasture and grassland
Nature Reserve,4.54206878,PUBLIC,Unknown
Nature Reserve,8.22443710,PUBLIC,Unknown
Separate House and Curtilage,0.84732250,PRIVATE,Unknown
Separate House and Curtilage,0.99004033,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.09652386,PRIVATE,Unknown
Detached Home,0.12444003,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.85220146,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.09652374,PRIVATE,Unknown
Separate House and Curtilage,0.43511264,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.08934257,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.08041336,PRIVATE,Unknown
Separate House and Curtilage,0.78115477,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.66816389,PRIVATE,Unknown
Livestock Production (Dairy Cattle),9.43297715,PRIVATE,Unknown
Livestock Production (Dairy Cattle),3.22390462,PRIVATE,Unknown
Separate House and Curtilage,0.18634811,PRIVATE,Unknown
Separate House and Curtilage,0.47698030,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.03188575,PRIVATE,Unknown
Reserved Land,0.27159813,PUBLIC,Unknown
Separate House and Curtilage,1.80171596,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.35607305,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.73292190,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.15934370,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.92772465,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.49797235,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.83084245,PRIVATE,Unknown
Livestock Production (Dairy Cattle),1.73268078,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.27059320,PRIVATE,Unknown
Separate House and Curtilage,0.20778678,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.09207644,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.10088106,PRIVATE,Unknown
Separate House and Curtilage,0.04387347,PRIVATE,Unknown
Livestock Production (Dairy Cattle),20.83801168,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),11.98819216,PRIVATE,Unknown
Livestock Production (Beef Cattle),0.30386617,PRIVATE,Unknown
Livestock Production (Dairy Cattle),15.26832427,PRIVATE,Pasture and grassland
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),8.26658536,PRIVATE,Unknown
Livestock Production (Dairy Cattle),10.53475520,PRIVATE,Unknown
