TENURE,LU_DESCS,HECTARES,LC_DESC_09,LC_DESC_08
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.84738238,Unknown,Unknown
PRIVATE,Detached Home,1.20975555,Unknown,Unknown
PRIVATE,Detached Home,0.84738340,Unknown,Unknown
PUBLIC,Water Supply,60.41500934,Native woody cover,Unknown
PRIVATE,Unclassified Private Land,5.14638407,Unknown,Unknown
PUBLIC,Reserved Land,0.63515306,Unknown,Unknown
PRIVATE,Detached Home,0.99250718,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),23.50340808,Softwood Plantation,Unknown
PUBLIC,Reserved Land,1.54691660,Unknown,Unknown
PUBLIC,Reserved Land,1.33187069,Unknown,Unknown
PUBLIC,Reserved Land,0.21865855,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.06385276,Unknown,Unknown
PRIVATE,Detached Home,1.50895370,Unknown,Unknown
PUBLIC,Reserved Land,1.05685100,Unknown,Unknown
PRIVATE,Detached Home,0.07891524,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.31018694,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07892231,Unknown,Unknown
PRIVATE,Detached Home,0.07891499,Unknown,Unknown
PRIVATE,Detached Home,0.07891890,Unknown,Unknown
PRIVATE,Detached Home,0.07891552,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07891942,Unknown,Unknown
PRIVATE,Detached Home,0.25526787,Unknown,Unknown
PRIVATE,Detached Home,0.07891488,Unknown,Unknown
PRIVATE,Detached Home,0.15783774,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.39096088,Unknown,Unknown
PRIVATE,Unclassified Private Land,12.98699496,Native woody cover,Native woody cover
PUBLIC,Reserved Land,0.70394003,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.20279345,Unknown,Unknown
PUBLIC,Water Supply,0.22102306,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),111.61282824,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.77420080,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),86.51947312,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),25.92869285,Hardwood plantation,Pasture and grassland
PUBLIC,Reserved Land,49.84190673,Softwood Plantation,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.62056698,Unknown,Unknown
PUBLIC,Reserved Land,112.36579735,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),0.84325379,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.89630887,Unknown,Unknown
PUBLIC,National Park - Land,2.56837940,Unknown,Unknown
PUBLIC,Reserved Land,8.41354955,Unknown,Unknown
PUBLIC,Reserved Land,513.38140128,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.30653954,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),27.76747937,Softwood Plantation,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.02374309,Unknown,Unknown
PUBLIC,National Park - Land,563.41452001,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),0.16180286,Unknown,Unknown
PUBLIC,National Park - Land,1.00261500,Unknown,Unknown
PRIVATE,Native Hardwood (standing timber),230.02710976,Softwood Plantation,Unknown
PUBLIC,Reserved Land,10.20188309,Unknown,Unknown
PUBLIC,National Park - Land,0.33054666,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),96.38837228,Softwood Plantation,Unknown
PUBLIC,Reserved Land,2.21096867,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),83.28485916,Softwood Plantation,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),19.61610535,Softwood Plantation,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),19.14687475,Softwood Plantation,Unknown
PRIVATE,Forestry (Commercial Timber Production),44.91636737,Softwood Plantation,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),35.49079224,Softwood Plantation,Unknown
PUBLIC,National Park - Land,1523.39664768,Native woody cover,Native woody cover
